2026-01-19 08:27:53 | INFO | app.worker_manager | Starting 64 workers...
2026-01-19 08:27:53 | INFO | app.worker_manager | Started 64 workers
2026-01-19 08:27:53 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:27:53 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:28:23 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:28:23 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:28:53 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:28:54 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:29:24 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:29:24 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:29:54 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:29:54 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:30:24 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:30:25 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:30:55 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:30:55 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:31:25 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:31:25 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:31:55 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:31:55 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:32:25 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:32:26 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:32:56 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:32:56 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:33:26 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:33:27 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:33:57 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:33:57 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:34:27 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:34:27 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:34:57 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:34:57 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:35:27 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:35:28 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:35:58 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:35:58 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:36:28 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:36:29 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:36:59 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:36:59 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:37:29 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:37:29 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:37:59 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:38:00 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:38:30 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:38:30 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:39:00 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:39:00 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:39:30 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:39:30 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:40:00 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:40:01 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:40:31 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:40:31 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:41:01 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:41:01 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:41:31 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:41:32 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:42:02 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:42:02 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:42:32 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:42:32 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:43:02 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:43:03 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:43:33 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:43:33 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:44:03 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:44:03 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:44:33 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:44:33 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:45:03 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:45:04 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:45:34 | INFO | app.worker_manager | Checking workers...
2026-01-19 08:45:34 | INFO | app.worker_manager | Total: 64, free: 64 failed: 0, busy: 0, hanged: 0
2026-01-19 08:46:04 | INFO | app.worker_manager | Checking workers...
